song_id,title,release,artist_name
983,Skit (U Damn Right),Sam Hoody's CD Sto,Da CIPHA
984,The Evidence,The Evidence,Satoshi Tomiie & DJ Yellow feat. Rachel Lamb
985,Man I Miss My Dog Pt. 2 (feat. Trill Real_ Mistah F.A.B._ Young Loss),The Heartbeat of Mac Dre,Kilo
986,Too close,Too Close,Bishop Perry Tillis
987,A Civilized Man,Real Individuality,The Soul Academy
988,Social Studies Pt. Two,Da Allnighta,The Primeridian
989,Free As A Bird,The Best Of Freddie Hubbard,Freddie Hubbard
990,Dehk Wa Laab,Yom Min Omri,Abdel Halim Hafez
991,Iridian,Big Drum: Small World,Dhol Foundation
992,Touchstone,Islands in Time,Steven Halpern
993,Sin Ningún Color,Cantos De Tierra,Sara Mamani
994,Twice,The Dodoz,The Dodoz
995,Patience And Fortitude,Ancestor,TK Webb_ The Visions
996,Anxiety,Start Of The Century,Marky Ramone
997,The Morning After,Like A Ship At Sea,Jimmie Lunceford & His Orchestra
998,This Weekend Wow,Dead Drunk,Terrestrial Tones
999,Rasberry Rush,Nothing Feels Good,The Promise Ring
1000,Sam und Bo_ N.E.O.,So Deluxe So Glorious,Samy Deluxe
1001,Goz'Aam Section 26,Goz'Aam,Sheihk Abdel Rahman Al Sodais
1002,Intro / Open,Open,Shaznay Lewis
1003,Amen Brother,Shapes 08:02,The Bamboos
1004,Te Alabaré,Vivo Hoy,Mauricio De Luna
1005,Veteran Theives (Album Versions),Sunlight At Secondhand,Nights Like These
1006,Majhi Ra,Big And Live,Suns Of Arqa
1007,S Is for Salamander,The Letters EP,And So I Watch You From Afar_ And So I Watch You From Afar
1008,Don't Blame,Miaow!,Four Kats
1009,Watch What Happens (Lola's Theme),Summertime,Rhoda Scott
1010,Shine On Harvey Bloom (LP Version),For Swingin' Livers Only,Allan Sherman
1011,Cattive Compagnie,Boom! + Bonus Track,Gemelli Diversi
1012,Looking For Me,Welcome Home,Stan Van Samang
1013,Outro,Introducing&,Bombay Rockers
1014,Careless Love Blues,The Road To New Orleans Jazz Vol 4,George Lewis & His New Orleans Stompers
1015,Greensleeves,A Mantovani Christmas,Mantovani And His Orchestra
1016,Shave_ If You Love Me,Les Fleurs du Mal,Sopor Aeternus & The Ensemble Of Shadows
1017,Never Stop,Live In Liverpool,Echo & The Bunnymen
1018,madame zinfandl,Lighta Spuba EP,DJ Koze
1019,Paul's Not Home,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.
1020,The Game is Over,Snappy Turns,Mark Perry
1021,Snehvide,Dr. Dante: Gasolin',Caroline Henderson
1022,Amber Captive,A Closer View,Ralph Towner_ Gary Peacock
1023,Amsterdam,R.I.P. - EP,Roken is Dodelijk
1024,Fashion Victim,Watch Yr Back,Digger & The Pussycats
1025,O Canto Da Ema,Odyssee First Serie: Latitudes Fêtes,Jackson Do Pandeiro
1026,Sugar One,Best of Cyber Records Vol. 3,Yahel
1027,The Pit Battle,G.I. JOE,Alan Silvestri
1028,Oi,Aim High  The Revolution,Dogzilla
1029,Du PQ (Pour mon trou-trou),Dirty Centre,Svinkels
1030,Bob Hope Takes Risks,Knee Deep In Hits,Rip Rig & Panic
1031,Do I Really Wanna Know,The Tranzmitors,The Tranzmitors
1032,Tankakern,Quaristice,Autechre
1033,Le Pedire (Live),En Vivo...Desde Monterrey_ México,Bobby Pulido
1034,Crazy (Original Version),Paradise EP,Ruede Hagelstein
1035,Heartbeat,Time 2 Rock,Topmodelz
1036,You're Always Right,(Come On_ Join) The High Society,These Animal Men
1037,Careless Gardeners (Of Eden)/Sparrows Of Eden (Eden Fading)/Drunken Gardeners Dance (Paradise Lost Sweetly),Life And Love In Sparrow's Meadow,The Skygreen Leopards
1038,Brasilia Freestyle,Solid Steel presents DJ Kentaro: 'On The Wheels of Steel',The Clifford Gilberto Rhythm Combination
1039,Stuck Inside My Head,Six Years Home,Hopes Die Last
1040,Lisa (Album Version),Straight To The Heart,David Sanborn
1041,Cine De Verano,We Create We Destroy,Deluxe
1042,Red Flag,Cody McCarver,Cody McCarver
1043,I Will Follow You,Love Rule,Thriller U
1044,Airtime,ACID MASSIVE MUSICAL,Kan Kick
1045,Paloma Querida,De Nacho Galindo,Conjunto Primavera
1046,Corazón de Acero,Carmen Amaya_ Año 1948-50,Carmen Amaya_ Carmen Amaya_ Paco Amaya_ José Amaya
1047,Beyond Material,Elysian Fields,Minus 8
1048,Viennese Waltz Medly,Essential Organ Masters,Lenny Dee
1049,Parachutes,The Soong Sisters - Original Soundtrack,Kitaro & Randy Miller
1050,Lone Jack (Album Version),Trio 99-00,Pat Metheny
1051,Ouverture [et suite] pour deux flûtes_ cordes et basse continue en mi mineur - Passepied,Telemann: Tafelmusik (First Production),Arion (Telemann)
1052,My Blakean Year,Trampin',Patti Smith
1053,Do You Love Me,MTV Unplugged,Kiss
1054,Insanity Or Death,True Believer,Matthew Barber
1055,Half A Man,Skybound,Tom Baxter
1056,Crucifixus: Crucifixus,The Music Of Larry Smith,Larry Alan Smith
1057,Mathilde,Classics & Collectibles,Scott Walker
1058,Future Look,Renaissance Man (Full Version),Q-Project
1059,A Perfect Indian,Universal Mother,Sinéad O'Connor
1060,Escondida,Pra Ser Feliz,Gustavo Lins
1061,La Première Fille,Sa Guitare Et Les Rythmes / N°3,Georges Brassens
1062,Enginer agun,Tauba Tauba,JoJo
1063,No Regrets,No Regrets,Sohodolls
1064,The Dream,Look Ahead,Gerald Veasley
1065,Viva la Vida,Concrete Blonde y Los Illegals,Concrete Blonde y Los Illegals
1066,Sunshine For Me,Reggae Trilogy,Gregory Isaacs
1067,I'll Get By,Teddy Wilson in 4 Hands,Dick Hyman & Chris Hopkins
1068,El Dinero,"Nuestras Canciones Romanticas Favoritas ""20 Exitazos",Los Caminantes
1069,Nite Time,Vincent Thomas Peaktime Anthems,Jean Claude Ades vs. Lenny Fontana ft. Tyra
1070,Divine Love_ Sex And Romance,Street,Nina Hagen
1071,Stop And Start It All Again (Live Version),Lucky Day [Live],Jonathan Edwards
1072,The Kids Don't Wanna Dance,The Lash Outs,The Lash Outs
1073,Somebody Knew,Somebody New,Rhett Akins
1074,Il Est Temps,Si Loin,Ludo
1075,Non So,Mauro Di Maggio,Mauro Di Maggio
1076,My Father,The Winstons,The Winstons
1077,How I Spent My Summer Vacation,End Is Forever,The Ataris
1078,Megan Dont Know,Mercury Retrograde,Jesse Malin
1079,Rollin (Produced by Rhenan Supreme),In Yo Hood,Sabotawj
1080,Death Dealers,Hear Nothing See Nothing Say Nothing,Discharge
1081,Chanson du bonheur qui fait peur,Le Pop 5,Mickey 3D
1082,After The Love,After The Love,R.I.O.
1083,Don't Give In To Him,Super Hits,Gary Puckett & The Union Gap
1084,Clustered Mind,Clustered Mind E.P.,Manuel Tur
1085,Ai Naviganti,Da Lontano,Eugenio Bennato
1086,Obsessive Compulsive. The Act Of Fornication Compulsive,A Thin Line Between Man And Machine,Misericordiam
1087,Stronger,Fridays Child,Will Young
1088,Ocupen Su Localidad/Hoy Puede Ser Un Gran Dia,Dos Pajaros De Un Tiro,Serrat & Sabina
1089,I Don't Wanna Loose Your Love,Rockin',David Brinston
1090,It Ain't Nothin' But Music,Devils Night Initial Run,D-12
1091,Have Fi Get Yu Tonight (Album),Dancehall 101 Vol. 6,Buju Banton
1092,Hear This,Double Take - Kierra Kiki Sheard,Kierra Sheard
1093,All Of A Sudden (LP Version),Supermodel To The World,Rupaul
1094,Feelin' You,A Poem About Ms. Doss,Conya Doss
1095,Prinsessor,Prinsessor,Laleh
1096,Pushover,Allow Me to Confess,Gina Sicilia
1097,Li Ri Ri Ri,Hit Compilation Italian Dance,Fun Key Tone
1098,Homewrecker,Disconnected,Unni Wilhelmsen
1099,My Old Pal of Yesterday,Diamonds in the Rough,Carter Family
1100,Love - Hate,Love - Hate,Paul Glazby
1101,Antonet (demo),Movie Scene Street,The Conscience Pilate
1102,Love Me Tonite,Soul Suite 2,Bizzi
1103,In Zion Dub Version - Original,Rastafari And Dub,Ras Michael
1104,Before Monday,Your Reminder,Normal Like You
1105,Held Up Without A Gun,The Essential Bruce Springsteen,Bruce Springsteen & The E Street Band
1106,Rock Me Baby,Bluesmasters Featuring Mickey Thomas,Bluesmasters Featuring Mickey Thomas
1107,Through My Eyes (Album Version),Urban World Music,Hiroshima
1108,Tidløs,Tidløs,Postgirobygget
1109,Grand Canyon (King Unique Come Home Vocal),Grand Canyon,Tracey Thorn
1110,Kid You'll Move Mountains,Up In Flames,Caribou (formerly Dan Snaith's Manitoba)
1111,Dolce Fare Niente,Die Könige Der Tanzpaläste,Fernando Express
1112,Man Out of Time,Atavism,Slough Feg
1113,SOUS LE CIEL DE PARIS,MA VIE Volume 2,Edith Piaf
1114,La Folle Corsa,Formula 3,Formula 3
1115,Alle Hier,Sag Ihnen Bescheid,Headliners
1116,Empeza - psaltery (Sephardic Jewish),Qadim,Tim Rayborn
1117,All Over The World,Talisman,Monolith
1118,Criminal,Gotan Project live,Gotan Project
1119,The Way That I Want You,Eleven Kinds Of Loneliness,Tanita Tikaram
1120,The Heart Is Blind,The Complete Limelight Session,Shania Twain
1121,Revolution,Transfer At Dub,The Unknown Ghosts
1122,Trance-Former,The Iron Giant,Michael Kamen
1123,Idiots Day Out (Hi Jo De Puta),Mind The Gap,Dogzuki
1124,Café Mirage,Live In New York,Michal Urbaniak Quartet
1125,For Your Love,My Innermost,Joana Zimmer
1126,On the Overgrown Path: Unutterable anguish,Janácek - Piano Music,Leif Ove Andsnes
1127,Warakurna,The Real Thing,Midnight Oil
1128,St. Louis Blues,Live In San Francisco,Stephane Grappelli
1129,We Don't Want Them,We Don't Want Them,Lowkey
1130,Tag Eins nach Dir,Tag Eins nach Dir,Rapsoul
1131,Burgueses,Nicolás Guillén: Poet Laureate of Revolutionary Cuba,Nicolás Guillén
1132,Raga Jaunpuri - drut teental,Women Through The Ages Series,Ashwini Bhide Deshpande
1133,Stealing My Soul (Album Version),Friends_ Lies_ And The End Of The World,Reach The Sky
1134,Mealworm,Champions Of Magic,Valis
1135,Gut So,Piano Piano,Roedelius
1136,Bitter Square,Make My Day Labelcompilation I,Cuba Missouri
1137,Alarm Clock,Alarm Clock (Lounge Version),The Rumble Strips
1138,Passo Felino,Lento Violento,Gigi D'agostino
1139,Vianne Gazes at the River,Chocolat - Original Motion Picture Soundtrack,Rachel Portman
1140,Trouble in Mind,Georgia White Vol. 2 1936-1937,Georgia White
1141,In the Middle of the Night,Waiting,Doug Hoekstra
1142,Diva,Becstasy,Becky Baeling
1143,What Is This Thing Called Love,Love For Sale,Vahag Petian & Clarence Johnson III
1144,Frequency,Collections,Sub-Urban Tribe
1145,I Don't Wan't To Be,In Gold We Trust,Russian Amcar Club
1146,La prière,Chanson pour l'auvergnat,Georges Brassens
1147,Psychology (Takao Tajima_ Hiroshi Egaitsu Remix),SESSIONS,Original Love
1148,Digitana,Millenium Music,Experimental Audio Research (E.A.R.)
1149,Mala Femmena,This Is Sergio Franchi,Sergio Franchi
1150,Dancing Nation (Radio Edit),Dancing Nation,Overdrive Division
1151,Can We Get to That,Unreal!!!,Ray Stevens
1152,Long Dread Locks,Ghetto Youth,Little John
1153,Satta Massagana,The Reggae Artists Gallery,Dennis Brown
1154,You Keep Running Away,The Motown Anthology,Chuck Jackson
1155,Bright_ Bright Day,No More War,Emperor
1156,Two Tracks We Made In 1999 For A Gay Leather Video,Panoramic,Daniel Wang
1157,World Of Hurt,Sub Focus,Sub Focus
1158,In My Hands (Album Version),Another Round,Jaheim
1159,Kurti (Live),Solo,Reinhard Mey
1160,Slight Sting,So Long_ Soggy Dog,The Sidekicks
1161,If You Wanna Do Me Love,N Ster Vir My,Ice
1162,Saxomonizer,Saxomonizer,Tom Van Criekinge
1163,Pierre Jamballah,Bebo Rides Again,Bebo Valdés
1164,Hey! Baby,Die längste Nacht der Welt - 18 Party-Hits,Didi Diesel
1165,Irgendwoanders,Irgendwoanders,Ganz Schön Feist
1166,Um Minuto Para O Fim Do Mundo,Felicidade Instantânea,CPM22
1167,Ovo nije moje vrijeme,The Ultimate Collection,Daleka Obala
1168,Pleeez,Yoojin Vol.2,Yoojin
1169,Shine Vs Tonight  (Smash Ups Album Version),Smash-ups,Newsboys vs Pax217
1170,I Didn't Name You,Primary Sources,Ellie Come Home
1171,January Twenty Something,Eskimo Snow,Why?
1172,The Way Through,The Way Through,Donny McCaslin
1173,Chapter 6,Tripper,Efterklang
1174,Christmas (Album Version),Where It Goes,Lori Carson
1175,Mood Indigo,Remembering The Sixties,Frank Ifield
1176,Tribute to Collie Smith,The Pioneer of Jamaican Music : Laurel Aitken,Laurel Aitken
1177,Mr. Jelly Lord,Chimes Blues,Jelly Roll Morton Trio
1178,Oh My God,Actor,St. Vincent
1179,Como Se Entiende Lo Que No Se Entiende,Armamente,Habeas Corpus
1180,Concerto for Piano and Orchestra No. 1 In B Flat Minor Op. 23: Allegro Non Troppo E Molto Maestoso,52 Most Important Classical Music Works Of All Time - The Essential Collection,London Festival Orchestra
1181,One You Left Behind_ The  (Celtic Journeys Album Version),Celtic Journeys,Eden's Bridge
1182,Meggie Reveals The Truth,The Thornbirds,Henry Mancini
1183,Bluebirds Over The Mountain,The Very Best Of Ritchie Valens,Ritchie Valens
1184,My Jewel,Dr. Bull's Jewel - Keyboard Music of John Bull,Kathryn Cok
1185,Share The Riches,Chant Down Babylon,Culture
1186,Down By The Riverside,Live From Los Angeles,Oliver Nelson
1187,Paid Vacation Time,Acrobatic Tenement,At The Drive-In
1188,U & I,U & I - Single,Dhany
1189,Your Friends (Full Length Version),The Genuine Texas Groover,Doug Sahm
1190,Detenedla Ya,Serie Platino,Emmanuel
1191,Too Funky,Twenty Five,George Michael
1192,Waterworld Theme,Improvised Explosive Device,Van Boven
1193,Grace,Let It Go,Will Young
1194,Mr Collins_ Mr Collins,Iceman,Albert Collins
1195,Don't Fly Away - Original,Baby Talk,Jan & Dean
1196,Cloverfield - Roar!,Film Music 2008,Yvetta Tannenbergerova_ The City of Prague Philharmonic Orchestra_ James Fitzpatrick
1197,No Surface All Feeling,Everything Must Go 10th Anniversary Edition,Manic Street Preachers
1198,Night over Manaus,Hôtel Costes Best of&by Stéphane Pompougnac,Boozoo Bajou
1199,Macaroni (Digitally Remastered),Music Is My Sanctuary,Gary Bartz
1200,Blues Singer's Prayer,Brownie McGhee Sings the Blues,Brownie McGhee
1201,Todavia Duele,A Bailar Merengue : Volume 1,Los Sabrosos Del Merengue
1202,Get Up (Album Version),Killjoy,Shihad
1203,Perihelion,Prototype,Tau Factor
1204,"Wrote For Luck (12"" - Remastered version)",Bummed,Happy Mondays
1205,Song,Pock,Dingobats
1206,Why Leave Us Alone (LP Version),Five Special,Five Special
1207,Move Along Train,Electric Dirt,Levon Helm
1208,Pick Up the Pieces (Driven Version),Rust,Supermachiner
1209,Baader Meinhof (Live At The YMCA),Live At The YMCA 27.10.79.,Cabaret Voltaire
1210,Fire,Uprising - The Remixes,Universal Poplab
1211,The Chess Game,The Sea Hawk,Erich Wolfgang Korngold
1212,Gimme Your Money Please,Bachman Turner Overdrive,Bachman-Turner Overdrive
1213,Angel Eyes,Legacy:Volume One,The Jeff Healey Band
1214,Passions to ignite (World),Many Blessings: A Native American Celebration,Mary Youngblood
1215,Love Is the Answer,The Great Lonnie Johnson_ Vol. 2,Lonnie Johnson
1216,Christine (Re-mix 2.3 wHATEver),"The Wake - ""Christine"" (Rosetta Stone Mix)",The Wake
1217,The Love You Gave Away,Moving Targets,Flo & Eddie
1218,Gefährte einer Nacht,Ruhe vor dem Sturm,Juliane Werding
1219,Put You're Head On My Shoulder,The Leif Garrett Collection,Leif Garrett
1220,Best Kept Secret,Darla 100,Shoestrings
1221,Girls Go Crazy,TP.3 Reloaded,R. Kelly featuring Baby
1222,Destination Calabria,My destination (The Remixes),Alex Gaudino_ Featuring Crystal Waters
1223,It's Alright,Cotton Eyed Joe  Live In Boulder 1962,Karen Dalton
1224,Dandelion,IRM,Charlotte Gainsbourg
1225,Saturday Night Fish Fry,The Very Best Of Canned Heat Volume Two [Original Recording Remastered],Canned Heat
1226,Ornithology (LP Version),Bebop,Milt Jackson
1227,Fire Pon A Dubplate,Fire Pon A Dubplate / Playback,Mungo's Hi Fi
1228,Arrostaino,Live!,Giorgos Tsalikis
1229,Do What You Like,Wildtrax Vol1,Wildchild
1230,Invitation Only,Recognition,Nsanity
1231,Adelante Corazón,Coleccion Suprema Plus- Daniela Romo,Daniela Romo
1232,Chemie,BNR Vol. 1,PUZIQUe
1233,Jah Kingdom,Bikini Bandits Kill Kill Kill,Bong-ra
1234,Dont Durp Me,Eater EP,Bone Loc
1235,Stella mia,Tacco 12,Geisha
1236,Down In Htown (Remix) [feat. Big Hawk & Pokey],The Chronicles_ Volume 2 - Chopped & Screwed,Lil Keke
1237,Don`t You Just Know It,Party Warriors,Captain Jack
1238,Swingin' Down The Lane,Dancers Choice,Les Brown
1239,X-Rated,Introducing&,Bombay Rockers
1240,Move It,Danny Davis & The Boys,Danny Davis & The Boys
1241,Gloria,Christmas Album,The Yobs
1242,Summerdreams,One,Tony Linfjärd
1243,The White Hare (Album Version),Freedom Fields,Seth Lakeman
1244,Animation (2007 Digital Remaster),The Saints Are Coming - The Best Of The Skids,Skids
1245,Creed Of Love,Choice Quality Stuff...Anytime,It's A Beautiful Day
1246,When I Was A King,In the Valley of Sickness,Thomas Function
1247,Das macht mich Crazy (You drive me crazy),Kinder Hitparade Voll Krass,Kinderhitparade: Gernot
1248,You Really Hurt Me,A Poem About Ms. Doss,Conya Doss
1249,Champange,I Don't Play Guitar,Ninja
1250,Manon_ _Je ne suis que faiblesse_ Adieu notre petite table_ Paris 1963,Callas live in Hamburg_ New York and more 1962 - 1965,Maria Callas
1251,U Ain't Fuckin With Us,Optik Takeover,Dina Rae feat. Sinan Caput
1252,Shock Out,Clarks Booty,Little John
1253,Vida Truncada,15 Exitos - Mercedes Castro,Mercedes Castro
1254,Dream Girl,No Time / Leave It Alone,Black Magic
1255,Brownsville Blues,Legendary Country Blues Artists - CD B,Sleepy John Estes
1256,Total,Canciones De Amor,Marisela
1257,Just Is,What Sound,Lamb
1258,Mozam's Mood,Essential Elements,Mateo & Matos
1259,De Nationale Kont,Blond,De Mens
1260,UnBirthday,Last Exit,Junior Boys
1261,No Pussy Blues (Midfield General Remix),No Pussy Blues Remixes,Grinderman
1262,The Sad Chicken,Absolute Funk Vol. 2,Leroy and The Drivers
1263,Frank's Tune,The Navy Swings!,Shelly Manne
1264,I've Lost My Mummy,Original Hits - Kids,Rolf Harris
1265,Athena,Cars & Trucks,Cars & Trucks
1266,Crush On You,3LW,3LW
1267,Just A Loser,I Was Warned,The Robert Cray Band
1268,Witchhunter,Reloadead,Terminal Choice
1269,The Temple Of Trance (Soft Acid Mix),The Temple Of Trance,Trance Generators
1270,Medley,LIVE IN TOKYO,Weather Report
1271,Going Down,Four On The Floor,Dag Nasty
1272,Music In My Soul,The Pink & The Lily,Sandi Thom
1273,You Ain't Heard Nothin' Yet (Album Version),Ain't It The Truth,Daryle Singletary
1274,Zeng zeng,Everlord,Lord Kossity
1275,Takatanga,The Girl From Ipanema,Antonio Carlos Jobim
1276,The Owl Moans Low,Grass Is Singing,Lonely Drifter Karen
1277,Valens,Emo Diaries - Chapter Four - An Ocean Of Doubt,The Movielife
1278,The Downed Dragon,How To Train Your Dragon,John Powell
1279,12 Etudes Op.10: N.9 in Fa Minore: Allegro_ Molto Agitato,Variations On A Theme By Paganni (Brahms) / 12 Etudes Op.10 & 25 (Chopin),Giorgia Tomassi
1280,My Time,Strictly The Best Vol. 4,Barrington Levy
1281,Witches Sabbat (Vulcano Cover),Devil'S Force,Nifelheim
1282,Hand Of Fate,Whatever Comes First,Sons Of The Desert
1283,Slowly Sinking,At Your Convenience,4ft Fingers
1284,DPGC Muzic,Tha Dogg Set,Tha Dogg Pound
1285,Tod in der Heide (Previously Unreleased),Unterm Pflaster liegt der Strand,Captain Planet
1286,Rajatimes,Goa anthology,Khan Kalima
1287,Born To Be Bad,The Motown Anthology,Jimmy Ruffin
1288,Moments In The Snow,Realistes,Comet Gain
1289,I Need To Belong To Someone,The Best Of .... Vol 2,The Impressions
1290,Call It Destiny,Works,Wax
1291,Namoro Sério,Festa Pra Comunidade,Grupo Fundo De Quintal
1292,Foundthings,Received Transgressed & Transmitted,The Nectarine No. 9
1293,Strada 'Nfosa (2004 Digital Remaster),Nicola Arigliano: The Best Of Platinum,Nicola Arigliano
1294,Jonny,Witchcraft,Wonderwall
1295,Cat Battles (Album Version),Freedom In The Groove,Joshua Redman
1296,Ostinada,Energy: Live at Tulagi & More [Original Recording Remastered],Tommy Bolin
1297,Wish I Were You,Armageddon - The Album,Patty Smyth
1298,Scrapple From the Apple/Honeysuckle Rose,Serve You_ Maam?,Robert Moore
1299,A Sorcerer's Pledge,Live,CANDLEMASS
1300,Run For Home,The Best Of Lindisfarne,Lindisfarne
1301,Niyat-E-Shauq Bhar,Tarannum,Noor Jahan
1302,Everybody Shake It  (Martin Fry Mix),Everybody Shake It [Remixes Part 2] [with Shawn Christopher],Ralphi Rosario
1303,Dill Pickles Rag,Both Ears And The Tail,Martin Carthy_ Dave Swarbrick
1304,Trouble on The Western Survey,For You I Pine,Vehicle Flips
1305,Reevolution,Ditt Hjärta Är En Stjärna,Mattias Alkberg BD
1306,Beautiful,This Is My Heart,Since October
1307,U sobi on i brat...,Istocno Od Gajnica - Live,Hladno Pivo
1308,Quicksteps (Medley),Tryst,Iain MacInnes
1309,Juke Box Hero (Remastered LP Version ),Definitive Collection,Foreigner
1310,Fins el mai,Viatge a Itaca,Lluis Llach
1311,What A Time,The Story,Golden Gate Quartet
1312,Flying Down to Rio,Cuban Nightmare,Tito Puente
1313,La velludita,Serie Fiesta,Chicos de Barrio
1314,A Touch of Velvet a Sting of Brass,Mr Boom Boom (The Colonio Masters),Mark Wirtz & Mood Mosaic
1315,Another Door,In The Beginning,Daryl Williams Trio
1316,Archery,The Young Victoria,The London Metropolitan Orchestra
1317,Harlot Of Nations,The New Colossus,Frank The Baptist
1318,Your Mama Don't Dance,On Stage,Loggins & Messina
1319,African Dub,African Dub All-Mighty Chapter 1,Joe Gibbs & The Professionals
1320,40 Tage 13 Stunden,Mit Pauken und Raketen,Killerpilze
1321,Return The Favour (In the style of 'Keri Hilson Feat. Timbaland') [With Backing Vocals],Ace Karaoke Pop Hits - Volume 12,Ace Karaoke Productions
1322,Mutter Natur - Oder Das Echo Von Euskirchen,Edelweiss,Joachim Witt
1323,What's This Really All About?,Valkyrie,John Ottman
1324,Monday,1,Large House Satisfaction
1325,Master Planet,Legends Of Monta: Part I,Odd Logic
1326,Qing Zai Hu Xi Li (Album Version),EMI Xing Xing Chuan Ji Zi Andy Lau,Andy Lau
1327,The Look Of Love,Rev-elation,Joe Locke
1328,Mothgirl,Saving My Face,KT Tunstall
1329,Aunt Eggma Blowtorch,Everything Is,Neutral Milk Hotel
1330,The Highest,Riddim Driven: Dreaming,Bounty Killer
1331,Forever Revisited (Digital Bonus Track),More Forever,Westpark Unit
1332,EDUSKUNTATALON OVI,Matkiva Kulkuri,Jope Ruonansuu
1333,Arc Of Ra,The Eternal Sky,Anubian Lights
1334,Exosphere,Hydroponic Garden,Carbon Based Lifeforms
1335,Good Rockin' Tonight (live),Live from the Armadillo World Headquarters 1973 & the Capitol Theatre 1975,Commander Cody
1336,Rubylove,Teaser and the Firecat deluxe pack,Cat Stevens
1337,You Don't You Won't,Dare To Dream,Billy Gilman
1338,The Battle Of New Orleans,American Originals,Johnny Horton
1339,No Matta What,Fearless,Lola Ponce
1340,Subdub 1111 (Original Mix),Cycle 24 EP,Jay Tripwire
1341,Cheap (From the album Tell The Truth),Tell The Truth / No Compromise,Mick Clarke
1342,Get Over It (Live),Do What You Want,Ok Go
1343,Porcelain Throne,Parasiticide,Two Ton Boa
1344,Cae La Nieve,Los Ninos de Sara - Le Son Gitan d'Alabina,La Cubanita
1345,Hey!,The Underground 2010,Laidback Luke & Diplo
1346,Du Vet Vart Jag Står (Ft Sepideh Vaziri),Nya Skolans Ledare,Stor
1347,Never Ever Land,B.P.Empire,Infected Mushroom
1348,Beyond the Veil,Toxic Voodoo,Fear of God
1349,Wu-Tang Clan Ain't Nuthing Ta F' Wit,Live at Montreux 2007,Wu-Tang Clan
1350,Across the Sea,Across the Sea / Skeleton Girl - Single,Hanoi Janes
1351,Botanical Gardens,Songs About You,Language of Flowers
1352,And You Though the Doctor's Probe Hurt,'Twas Hell Said Former Child,Belvedere
1353,Jubiläumsmarsch,15 Jahre - Michael Klostermann,Michael Klostermann
1354,Sexual Education (2007 Digital Remaster),Decades Of Decay,Prestige
1355,Restoring Pangea,A Collection: Past_ Present and Future,Scarlet
1356,I Have Returned (Album),Alela & Alina,Alela Diane [Feat Alina Hardin]
1357,Our World,Eternity E.P.,Bassdealer & M.A.S.H.
1358,Highway 4287,Silver Soul,And Also the Trees
1359,Caminhos Cruzados,Dig This Samba!,Henrik Meurkens
1360,My Daddy Is Only A Picture,The Man From Tennessee - 40 Great Tracks,Eddy Arnold
1361,I Wish I Knew How It Would Feel To Be Free,Live at Georgia Theatre,The Derek Trucks Band
1362,Special Moment,It Ain't Over,Ms. Rhonda Monique
1363,Tallulah_ Darling (To Tallulah Bankhead),Mistinguett_ Madonna et Moi,Caroline Loeb
1364,To Dead Ahead,Chloe Yurtz,Les Baton Rouge
1365,Ricordo,The Complete 2,Marlene Kuntz
1366,Heartaches,22 All Time Big Band Favorites,Lawrence Welk
1367,Medley Live From Northern Quebec (A) Cash On The Barrelhead (B) Hickory Wind (LP Version),The Complete Reprise Sessions,Gram Parsons
1368,Thanks to the Lord of the Lords,Klezmundo,Giora Feidman
1369,More Of Nothing,Insights,Lemur Voice
1370,Why Me,MEZZANINE de L'ALCAZAR volume 4,Kinny & Horne
1371,Jingle Bells,The Best Christmas Party Ever!,Santa's Little Helpers
1372,Magia,Oro Salsero,Jerry Rivera
1373,She Is ...,Honey Dew,SCYCS
1374,The Push And Pull,Boys Night Out,Boys Night Out
1375,Space 1999,Ultimate Cult Themes,The London Theatre Orchestra
1376,Angel Of Light,Fountain Of Youth,Patrick Kelly
1377,International Celebrities,Cacophony Now,Armitage Shanks
1378,The Plague,The Lesson,Moshe
1379,Rybakk,Rybakk,Loktibrada
1380,I Shall Prevail,The Beast,Vader
1381,Joy (Tree63 Album Version),Tree63,Tree63
1382,Bengali Skank,The African Connection,Mad Professor
1383,Histoire du soldat Suite (The Soldier's Tale Suite) : V. Little March,STRAVINSKY: Histoire du Soldat Suite / Renard (Stravinsky_ Vol. 7),Christopher Gekker
1384,Monkey In The Family,Yes Please,Happy Mondays
1385,Bomb Bomb f/MC Supernatural,Must B 21,Will.I.Am
1386,Buena Mierda (2004 Digital Remaster),Impacto Certero,Tiro De Gracia
1387,Fix Yourself Up,Zonked,Dee Dee Ramone
1388,Salto al vacio,Solo Rot,Ariel Rot
1389,Du troc,A fleur de peau,Milou Largo
1390,Life In London,The Best Of Pat Travers,Pat Travers
1391,Under The Talking,Take Apart The Words,Breaking Pangaea
1392,Song From Moulin Rouge,16 Most Requested Songs Of The 1950s. Volume Two,Percy Faith & His Orchestra
1393,Good Hornes,LivevâOh Yeah!,MU330
1394,In The Blue (Acoustic),English Tale,Catherine Howe
1395,Sextant Machine,Plastic Starfish,Tal M. Klein
1396,Maria leal,Terra,Francisco Mário
1397,Rumba Blanca,Rumba Blanca,Orquesta Casino De La Playa
1398,Raining Twilight Coast,Eye,Robyn Hitchcock
1399,Velocity Of Atrocity,Iron Eye,Polyvalent Immedia
1400,Son Of The South,Son Of The South,Del Reeves
1401,Theme From Shaft,The Very Best of Smooth Jazz,Isaac Hayes
