id,title,author,year_of_publication,publisher,,,
668,Nowhere To Run,Mary Jane Clark,2004,St. Martin's Paperbacks,,,
669,American Son,Richard Blow,2002,St. Martin's Press,,,
670,Finding You/Knowing You : Two Brand-New Novels For One Wonderful Price! (Candellano Family Trilogy),Maureen Child,2003,St. Martin's Paperbacks,,,
671,Deadly Caress (A Francesca Cahill Romance),Brenda Joyce,2003,St. Martin's Paperbacks,,,
672,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,,,
673,"Buck Fever (A Blanco County, Texas, Novel)",Ben Rehder,2003,St. Martin's Minotaur,,,
674,The Tea Rose,Jennifer Donnelly,2004,St. Martin's Press,,,
675,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,,,
676,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2004,St. Martin's Paperbacks,,,
677,The Best Cat Ever,Cleveland Amory,1993,Little Brown &amp Co,,,
678,The Boys of My Youth,Jo Ann Beard,1999,Back Bay Books,,,
679,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books,,,
680,The Wooden Nickel: A Novel,William Carpenter,2003,Back Bay Books,,,
681,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,,,
682,"Politically, Fashionably, and Aerodynamically Incorrect: The First Outland Collection",Berkeley Breathed,1992,Little Brown &amp Co,,,
683,Happy Trails,Berke Breathed,1990,Little Brown &amp Co,,,
684,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996,Little Brown &amp Co,,,
685,I Don't Want to Go to Jail : A Novel,Jimmy Breslin,2002,"Little, Brown",,,
686,The Family of Pascual Duarte,Camilo Jose Cela,1989,Little Brown &amp Co,,,
687,Love and Longing in Bombay : Stories,Vikram Chandra,1998,Back Bay Books,,,
688,Johnny Long Legs (Matt Christopher Sports Classics),Matthew F Christopher,1988,"Little, Brown",,,
689,Dress Your Family in Corduroy and Denim,David Sedaris,2004,"Little, Brown",,,
690,Void Moon,Michael Connelly,1999,"Little, Brown",,,
691,Coma: A Novel,Robin Cook,1977,Little Brown &amp Co,,,
692,The Archivist,Martha Cooley,1998,Little Brown &amp Co,,,
693,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,"Little, Brown",,,
694,The Lovely Bones,Alice Sebold,2004,Back Bay Books,,,
695,Like a Hole in the Head,Jen Banbury,1998,Little Brown &amp Co,,,
696,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown",,,
697,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,,,
698,The French Lieutenant's Woman (French Lieutenant's Woman),John Fowles,1998,Back Bay Books,,,
699,Rhoda : A Life in Stories Tag: Winner of the National Book Award for Fiction,Ellen Gilchrist,1995,Back Bay Books,,,
700,Sarah Conley,Ellen Gilchrist,1998,Back Bay Books,,,
701,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,"Little, Brown",,,
702,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2002,Back Bay Books,,,
703,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",,,
704,The Face,Dan McNeill,1998,Little Brown &amp Co,,,
705,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,,,
706,The Jester,James Patterson,2003,"Little, Brown",,,
707,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",,,
708,Unnatural Exposure,Cornwell Patricia,0,Little Brown Company,,,
709,1st to Die: A Novel,James Patterson,2001,Little Brown and Company,,,
710,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",,,
711,Cradle and All,James Patterson,2000,Little Brown and Company,,,
712,Four Blind Mice,James Patterson,2002,"Little, Brown",,,
713,2nd Chance,James Patterson,2002,"Little, Brown",,,
714,When the Wind Blows,James Patterson,1998,Replica Books,,,
715,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,"Little, Brown",,,
716,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,,,
717,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,,,
718,"The Morning After: Sex, Fear, and Feminism on Campus",Katie Roiphe,1993,Little Brown &amp Co,,,
719,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",,,
720,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,,,
721,Naked,David Sedaris,1998,Back Bay Books,,,
722,Holidays on Ice : Stories,David Sedaris,1998,Back Bay Books,,,
723,Naked,David Sedaris,1997,Little Brown &amp Co,,,
724,Sea Glass: A Novel,Anita Shreve,2002,"Little, Brown",,,
725,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,,,
726,Live from New York: An Uncensored History of Saturday Night Live,Tom Shales,2002,"Little, Brown",,,
727,The Weight of Water,Anita Shreve,2001,"Little, Brown",,,
728,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",,,
729,Resistance : A Novel,Anita Shreve,1997,Back Bay Books,,,
730,Revolution from Within : A Book of Self-Esteem,Gloria Steinem,1993,"Little, Brown",,,
731,Evening News: A Novel,Marly A. Swick,1999,Little Brown &amp Co,,,
732,The Pursuit of Pleasure (Pursuit of Pleasure),Lionel Tiger,1993,Little Brown &amp Co,,,
733,The Evidence Against Her : A Novel,Robb Forman Dew,2001,"Little, Brown",,,
734,A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest,David Foster Wallace,1997,"Little, Brown",,,
735,All Too Human : A Political Education,George Stephanopoulos,1999,"Little, Brown",,,
736,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown",,,
737,The Beach House,James Patterson,2002,"Little, Brown",,,
738,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,,,
739,Town Like Alice,Nevil Shute,0,Pan Books Ltd,,,
740,Name of the Rose,Umberto Eco,0,Pan Books Ltd,,,
741,Falling Towards England,Clive James,0,Pan Books Ltd,,,
742,Year In Provence,Peter Mayle,0,Pan Books Ltd,,,
743,The Ice House,Minette Walters,1995,Macmillan Pub Ltd,,,
744,The Sculptress,Minette Walters,1995,Macmillan Pub Ltd,,,
745,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),,,
746,The Picador Book of the Beach,Robert Drewe,1996,Macmillan Pub Ltd,,,
747,To the Hilt,Dick Francis,1997,Pan Publishing,,,
748,Loose living,Frank Moorhouse,1995,Picador,,,
749,Marilyn's almost terminal New York adventure,Justine Ettler,1996,Picador,,,
750,Once,James Herbert,2002,Pan,,,
751,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan,,,
752,Louise Brindley Omnibus (Pb),Brindley Louise,2000,Pan Macmillan,,,
753,The Creative Writing Coursebook: Forty Authors Share Advice and Exercises for Fiction &amp Poetry,Julia Bell,2001,Pan Macmillan,,,
754,Fiddleback: A Novel,J.M. Morris,2002,Pan Macmillan,,,
755,Canon bang bang,J. M O'Neill,1991,Sceptre,,,
756,Teach Yourself Furthur Spanish (Teach Yourself S.),Kattan Ibarra,1920,Hodder &amp Stoughton,,,
757,Love Me Tender (Starlight),Libby Hathorn,0,Hodder Headline Australia,,,
758,Dancing at the Victory Cafe: A Novel with Recipes,Helene Wiggin,1995,Hodder &amp Stoughton General Division,,,
759,Feng Shui: A Complete Guide (Complete Guides),Richard Craze,1997,Trafalgar Square Publishing,,,
760,Film Studies (Teach Yourself Educational S.),Warren Buckland,1998,Hodder Arnold Teach Yourself,,,
761,Turning Thirty,Mike Gayle,2000,Hodder &amp Stoughton General Division,,,
762,Turning Thirty,Mike Gayle,2001,Hodder &amp Stoughton General Division,,,
763,The White Road,John Connolly,2002,Hodder &amp Stoughton,,,
764,Rainbow the Stormy Life of Judy Garland,Christopher Finch,0,Ballantine Books,,,
765,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,,,
766,Splinter of the Mind's Eye,Alan Dean Foster,1978,Ballantine Books,,,
767,The Hobbit,J. R. R. Tolkien,1977,Ballantine Books,,,
768,The Source of Magic,Anthony,1979,Del Rey Books,,,
769,Another Roadside Attraction,Robbins,1977,Ballantine Books,,,
770,"The White Dragon (Dragonriders of Pern, V. 3)",Anne McCaffrey,1981,Ultramarine Pub Co,,,
771,GOLDENGIRL,Peter Lear,1979,Ballantine Books,,,
772,Castle Roogna,Piers Anthony,1979,Ballantine Books,,,
773,Warm Worlds and Otherwise,James Tiptree Jr.,1979,Del Rey Books,,,
774,Han Solo at Stars' End,Daley,1979,Not Avail,,,
775,Empire Strikes Back Wars,Donald F Glut,1980,Ballantine Books,,,
776,Distant Mirror,Barbara Wertheim Tuchman,0,Ballantine Books,,,
777,Elfstones of Shannara,Terry Brooks,1990,Del Rey Books,,,
778,The Elfstones of Shannara,Terry Brooks,1982,Ballantine Books,,,
779,Inherit the Stars,Hogan P.,1979,Del Rey Books,,,
780,Third Eye,Rampa Lobsang,1980,Not Avail,,,
781,Sword of Shannara,Terry Brooks,1980,Ballantine Books,,,
782,Chameleon,William Diehl,1988,Ballantine Books,,,
783,Ship Who Sang,Anne McCaffrey,1979,Del Rey Books,,,
784,Centaur Aisle,Piers Anthony,1982,Ballantine Books,,,
785,Six of Swords,Carole Nelson Douglas,1982,Del Rey Books,,,
786,"One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.)",Stephen R. Donaldson,1982,Ballantine Books,,,
787,The Outside Man,Richard North Patterson,1995,Ballantine Books,,,
788,Blade Runner,Philip K. Dick,1982,Del Rey Books,,,
789,"Ogre, Ogre",Piers Anthony,1982,Del Rey Books,,,
790,Speaker of Mandarin,Ruth Rendell,1990,Fawcett Books,,,
791,Heaven Makers,Frank Herbert,1982,Ballantine Books,,,
792,On a Pale Horse,Piers Anthony,1984,Ballantine Books,,,
793,Easy Travel to Other Planets,Ted Mooney,1982,Ballantine Books,,,
794,Return of the Jedi (Star Wars),James Kahn,1983,Del Rey Books,,,
795,March of Folly: From Troy to Vietnam,Barbara W. Tuchman,1992,Ballantine Books,,,
796,Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Del Rey Books,,,
797,Foundation and Empire (Foundation Novels (Paperback)),Isaac Asimov,1983,Del Rey Books,,,
798,Second Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Ballantine Books,,,
799,Illearth War / Thomas Covenant #02 (Chronicles of Thomas Covenant the Unbeliever),Stephen Donaldson,1978,Ballantine Books,,,
800,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book Three)",Stephen R. Donaldson,1979,Del Rey Books,,,
801,Private Screening,Richard North Patterson,1994,Ballantine Books,,,
802,Pebble in the Sky,Isaac Asimov,1983,Del Rey Books,,,
803,Crewel Lye,Piers Anthony,1985,Ballantine Books,,,
804,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books,,,
805,"Job, a comedy of justice",Arthur C. Clarke,1984,Ballantine Books,,,
806,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,,,
807,Blue Adept (Apprentice Adept (Paperback)),Piers Anthony,1982,Ballantine Books,,,
808,Sword of Shannara,Terry Brooks,1995,Del Rey Books,,,
809,Almost Paradise,Susan Isaacs,1990,Ballantine Books,,,
810,White Gold Wielder Chronicles 3 (Second Chronicles of Thomas Covenant),Stephen R Donaldson,1984,Ballantine Books,,,
811,Magic Kingdom for Sale - Sold! (Magic Kingdom of Landover),Terry Brooks,1990,Del Rey Books,,,
812,The Silmarillion,J.R.R. TOLKIEN,1985,Del Rey,,,
813,The Door into Summer,Robert A. Heinlein,1993,Del Rey Books,,,
814,Dragonsdawn,Anne McCaffrey,1988,Ballantine Books,,,
815,Ringworld Engineers,Larry Niven,1990,Del Rey Books,,,
816,The Ship Who Sang,Anne McCaffrey,1993,Del Rey Books,,,
817,Feast of All Saints,Anne Rice,1986,Ballantine Books,,,
818,The Black Unicorn (Magic Kingdom of Landover Novel),Terry Brooks,1990,Del Rey Books,,,
819,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,1991,Del Rey Books,,,
820,Interview with the Vampire,Anne Rice,1993,Ballantine Books,,,
821,Follow the River,James Alexander Thom,1996,Ballantine Books,,,
822,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,,,
823,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,,,
824,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey,,,
825,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey,,,
826,Sins of Omission,FERN MICHAELS,1989,Ivy Books,,,
827,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,,,
828,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey,,,
829,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books,,,
830,Childhood's End,Arthur C. Clarke,1987,Del Rey Books,,,
831,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,,,
832,The Killer Angels,Michael Shaara,1993,Ballantine Books,,,
833,From Doon With Death,Ruth Rendell,1990,Fawcett Books,,,
834,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,,,
835,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,,,
836,Fat Tuesday (Thomas Black Mysteries),Earl W. Emerson,1996,Fawcett Books,,,
837,Sphere,MICHAEL CRICHTON,1988,Ballantine Books,,,
838,Her Mother's Daughter,Marilyn French,1990,Ballantine Books,,,
839,A Town Like Alice,Nevil Shute,1991,Ballantine Books,,,
840,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,,,
841,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books,,,
842,2061: Odyssey Three,Arthur C. Clarke,1991,Del Rey Books,,,
843,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,,,
844,Wizard at Large (Rookies Series),Terry Brooks,1989,Del Rey Books,,,
845,The Water-Method Man,John Irving,1990,Ballantine Books,,,
846,Witching Hour (Lives of the Mayfair Witches),Anne Rice,1991,Ballantine Books,,,
847,The Dolphins of Pern,Anne McCaffrey,1994,Ballantine Books,,,
848,"If Ever I Return, Pretty Peggy-O",Sharyn McCrumb,1991,Fawcett Books,,,
849,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books,,,
850,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books,,,
851,Jurassic Park,Michael Crichton,1999,Ballantine Books,,,
852,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,,,
853,Last Chance to See,Douglas Adams,1992,Ballantine Books,,,
854,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books,,,
855,The Quicksilver Screen,Don H. Debrandt,1992,Del Rey Books,,,
856,Diet for a Poisoned Planet: How to Choose Safe Foods for You and Your Family,David Steinman,1992,Ballantine Books,,,
857,The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1),J. R. R. Tolkien,1992,Del Rey Books,,,
858,"The Elf Queen of Shannara (Heritage of Shannara, Book 3)",Terry Brooks,1993,Del Rey Books,,,
859,Box Socials,W. P. Kinsella,1992,Ballantine Books,,,
860,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,,,
861,Congo,Michael Crichton,1995,Ballantine Books,,,
862,"Mostly Harmless (Hitchhiker's Trilogy, No 5)",Douglas Adams,1993,Ballantine Books,,,
863,Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books,,,
864,Star Wars: The Han Solo Adventures/3 Books in One,Brian Daley,1993,Del Rey Books,,,
865,Deadly Justice,William Bernhardt,1993,Ballantine Books,,,
866,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,,,
867,The PMS Outlaws : An Elizabeth MacPherson Novel,Sharyn McCrumb,2001,Bantam Books,,,
868,"In the Balance (Worldwar Series, Volume 1)",Harry Turtledove,1994,Ballantine Books,,,
869,Here Be Dragons,Sharon Kay Penman,1993,Ballantine Books,,,
870,Icebound,Dean R. Koontz,1995,Ballantine Books,,,
871,Intensity,DEAN KOONTZ,1996,Ballantine Books,,,
872,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,,,
873,The Guns of the South: A Novel of the Civil War,Harry Turtledove,1993,Del Rey Books,,,
874,Red Square,Martin Cruz Smith,1993,Ballantine Books,,,
875,A Guide to the Star Wars Universe,Bill Slavicsek,1994,Del Rey Books,,,
876,Tangle Box,TERRY BROOKS,1995,Del Rey,,,
877,The Total Zone (Jordan Myles Mysteries),Martina Navratilova,1995,Fawcett Books,,,
878,"Tilting the Balance (Worldwar Series, Volume 2)",Harry Turtledove,1995,Ballantine Books,,,
879,Havana Bay,Martin Cruz Smith,2001,Ballantine Books,,,
880,Disclosure,Michael Crichton,1994,Ballantine Books,,,
881,The Battle for God,Karen Armstrong,2001,Ballantine Books,,,
882,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,,,
883,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books,,,
884,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books,,,
885,"Orion Arm: The Rampart Worlds: Book 2 (May, Julian. Rampart Worlds, Bk. 2.)",Julian May,2000,Del Rey Books,,,
886,Slow River,Nicola Griffith,1996,Ballantine Books,,,
887,First King of Shannara,Terry Brooks,1996,Ballantine Books,,,
888,First King of Shannara,Terry Brooks,1997,Del Rey Books,,,
889,The Cheetah Chase,Karin McQuillan,1995,Fawcett Books,,,
890,Your Blues Ain't Like Mine,BEBE MOORE CAMPBELL,1995,Ballantine Books,,,
891,"Upsetting the Balance (Worldwar Series, Volume 3)",Harry Turtledove,1996,Ballantine Books,,,
892,Airframe,Michael Crichton,1997,Ballantine Books,,,
893,Saving Grace,LEE SMITH,1996,Ballantine Books,,,
894,Do Androids Dream of Electric Sheep?,Philip K. Dick,1996,Del Rey Books,,,
895,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books,,,
896,Protect and Defend,Richard North Patterson,2001,Ballantine Books,,,
897,"Striking the Balance (Worldwar Series, Volume 4)",Harry Turtledove,1996,Ballantine Books,,,
898,The Great War: Walk in Hell,Harry Turtledove,2000,Del Rey Books,,,
899,"Dreamers, Discoverers and Dynamos : How to Help the Child Who Is Bright, Bored and Having Problems in School",Lucy Jo Palladino,1999,Ballantine Books,,,
900,The Shelter of Each Other: Rebuilding Our Families,Mary Bray Pipher,1997,Ballantine Books,,,
901,How Few Remain,Harry Turtledove,1998,Del Rey Books,,,
902,The Aguero Sisters (Ballantine Reader's Circle),Cristina Garcia,1998,Ballantine Books,,,
903,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,1997,Ballantine Books,,,
904,"Memnoch the Devil (Vampire Chronicles, No 5)",Anne Rice,1997,Ballantine Books,,,
905,The Last Don,MARIO PUZO,1997,Ballantine Books,,,
906,The Termination Node,Lois H. Gresh,1999,Ballantine Books,,,
907,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey,,,
908,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey,,,
909,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey,,,
910,Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2000,Ballantine Books,,,
911,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,,,
912,Hunger Pains: The Modern Woman's Tragic Quest for Thinness,Mary Pipher,1997,Ballantine Books,,,
913,Pope Joan (Ballantine Reader's Circle),Donna Woolfolk Cross,1996,Ballantine Books,,,
914,Dave Barry Slept Here,Dave Barry,1997,Ballantine Books,,,
915,Last Sword of Power (Stones of Power),David Gemmell,1997,Del Rey Books,,,
916,Enchantment,Orson Scott Card,2000,Del Rey Books,,,
917,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,,,
918,The World According to Garp (Ballantine Reader's Circle),John Irving,1997,Ballantine Books,,,
919,Mostly Harmless,Douglas Adams,2000,Ballantine Books,,,
920,The Puzzled Heart (Kate Fansler Novels (Hardcover)),Amanda Cross,1998,Ballantine Books,,,
921,Dave Barry's Greatest Hits,Dave Barry,1997,Ballantine Books,,,
922,The First Immortal,James L. Halperin,1998,Del Rey Books,,,
923,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books,,,
924,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,2001,Ballantine Books,,,
925,What We Keep : A Novel (Ballantine Reader's Circle),Elizabeth Berg,1999,Ballantine Books,,,
926,A Widow for One Year,JOHN IRVING,1999,Ballantine Books,,,
927,News Is a Verb: Journalism at the End of the Twentieth Century (Library of Contemporary Thought),Pete Hamill,1998,Ballantine Books,,,
928,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,,,
929,A Cup of Tea (Ballantine Reader's Circle),Amy Ephron,1998,Ballantine Books,,,
930,The Broken Hearts Club,Ethan Black,1999,Ballantine Books,,,
931,The Analyst,John Katzenbach,2003,Ballantine Books,,,
932,Outfoxed,Rita Mae Brown,2000,Ballantine Books,,,
933,"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Michael A. Stackpole,2000,Del Rey Books,,,
934,Out of the Blue,Sally Mandel,2000,Ballantine Books,,,
935,"Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe",Richard Belzer,1999,Ballantine Books,,,
936,A Small Dark Place,Martin Schenk,1999,Ballantine Books,,,
937,The Man Who Fell to Earth (Del Rey Impact),WALTER TEVIS,1999,Del Rey,,,
938,The Syndrome : A Thriller,John Case,2001,Ballantine Books,,,
939,The Syndrome,John Case,2002,Fawcett Books,,,
940,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books,,,
941,The Skies of Pern,Anne McCaffrey,2002,Del Rey Books,,,
942,Evensong (Ballantine Reader's Circle),Gail Godwin,2000,Ballantine Books,,,
943,Darwin's Radio,Greg Bear,2000,Ballantine Books,,,
944,The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON,DAVID EDDINGS,1999,Del Rey,,,
945,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books,,,
946,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books,,,
947,A Case of Conscience (Del Rey Impact),James Blish,2000,Del Rey Books,,,
948,The Redemption of Althalus,David Eddings,2000,Del Rey,,,
949,Summer Island,KRISTIN HANNAH,2002,Ballantine Books,,,
950,Prospero's Children,Jan Siegel,2001,Del Rey Books,,,
951,Cruel As the Grave,Sharon Kay Penman,2001,Fawcett Books,,,
952,The Sicilian,MARIO PUZO,2001,Ballantine Books,,,
953,Criminal Intent,WILLIAM BERNHARDT,2003,Fawcett,,,
954,Death Row,WILLIAM BERNHARDT,2004,Fawcett Books,,,
955,Perdido Street Station,China Mieville,2001,Del Rey Books,,,
956,While I Was Gone,Sue Miller,1999,Ballantine Books,,,
957,"What Women Want: What Every Man Needs to Know About Sex, Romance, Passion, and Pleasure",Laurence Roy Stains,2002,Ballantine Books,,,
958,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books,,,
959,"Murder at Ford's Theatre (Truman, Margaret, Capital Crimes Series.)",MARGARET TRUMAN,2002,Ballantine Books,,,
960,Entering Normal (Ballantine Reader's Circle),Anne D. Leclaire,2002,Ballantine Books,,,
961,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,,,
962,Midnight Confessions,CANDICE PROCTOR,2002,Ivy Books,,,
963,The Surgeon,TESS GERRITSEN,2002,Ballantine Books,,,
964,Househusband,AD HUDLER,2002,Ballantine Books,,,
965,The Fall of Reach (Halo),Eric Nylund,2001,Del Rey Books,,,
966,The Murder Book,JONATHAN KELLERMAN,2002,Ballantine Books,,,
967,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,,,
968,The Homing,John Saul,2002,Ballantine Books,,,
969,The Sinner,TESS GERRITSEN,2003,Ballantine Books,,,
970,The Salmon of Doubt,DOUGLAS ADAMS,2003,Ballantine Books,,,
971,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,,,
972,The Chronicles of Riddick,ALAN DEAN FOSTER,2004,Del Rey,,,
973,"If this is a man ; and, The truce",Primo Levi,1987,Abacus,,,
974,Dreams of Dead Womens Handbags,Shena Mackay,0,Abacus,,,
975,The Wasp Factory,Iain Banks,0,Abacus,,,
976,The crow road,Iain Banks,1993,Abacus,,,
977,Land Girls: Film Tie-In,Angela Huth,1998,Little Brown and Company,,,
978,Rush to the Altar  (Twin Brides),Rebecca Winters,2003,Harlequin,,,
979,"Midsummer Madness (Silhouette Desire, No 729)",Christine Rimmer,1992,Silhouette,,,
980,"Hand Of An Angel (Silhouette Desire, No 844)",BJ James,1994,Silhouette,,,
981,Found: One Husband (Harlequin Medical Romance),Meredith Webber,2001,Harlequin,,,
982,"Enchanted: The Donovan Legacy (Intimate Moments, #961)",Nora Roberts,1999,Silhouette,,,
983,"Galahad In Blue Jeans (Way Out West) (Silhouette Intimate Moments, 971)",Sara Orwig,1999,Silhouette,,,
984,Black Knight,Carole Halston,1985,Silhouette,,,
985,The Blind - Date Bride  (The Australians),Emma Darcy,2003,Harlequin,,,
986,Sleeping Partners  (Nine to Five),Helen Brooks,2003,Harlequin,,,
987,The Italian's Trophy Mistress  (Mistress To A Millionaire),Diana Hamilton,2003,Harlequin,,,
988,"On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348)",Sandra Field,2003,Harlequin,,,
989,"The Spaniard's Woman   Foreign Affairs (Harlequin Presents, 2351)",Diana Hamilton,2003,Harlequin,,,
990,The Parisian Playboy   In Love With Her Boss,Helen Brooks,2003,Harlequin,,,
991,"The Greek Tycoon's Ultimatum   The Greek Tycoons (Harlequin Presents, 2353)",Lucy Monroe,2003,Harlequin,,,
992,Christmas Miracles,Betty Neels,1997,Harlequin,,,
993,"My Big Fake Green-Card Wedding (Harlequin American Romance, 987)",Mollie Molay,2003,Harlequin,,,
994,The Tycoon's Double Trouble  (Daycare Dads),Susan Meier,2003,Silhouette,,,
995,To Catch A Sheik  (Desert Brides),Teresa Southwick,2003,Silhouette,,,
996,"Her Pregnant Agenda : Marrying The Boss's Daughter (Silhouette Romance, 1690)",Linda Goodnight,2003,Silhouette,,,
997,"To Wed A Sheik   Desert Brides (Silhouette Romance, 1696)",Teresa Southwick,2003,Silhouette,,,
998,"Santa Brought A Son : Marrying The Boss's Daughter (Silhouette Romance, 1698)",Melissa McClone,2003,Silhouette,,,
999,Daddy Again (By Request) (Harlequin by Request),Dorothy Glenn,1998,Harlequin,,,
1000,Engaging The Enemy,Nora Roberts,2003,Silhouette,,,
1001,Table For Two,Nora Roberts,2002,Silhouette,,,
1002,"In The Blink Of An Eye (The Taylor Clan) (Harlequin Intrigue, No. 651)",Julie Miller,2002,Harlequin,,,
1003,Wanted Woman : Cascades Concealed (Intrigue),B.J. Daniels,2004,Harlequin,,,
